observ;barrio;calle;altura;institu1;institu3;distanci;edpub;estserv;banco;totrob;mes
555;V. Crespo;Angel Gallardo;a700;0;0;4;0;0;1;0;4
631;V. Crespo;Bravard;a1100;0;0;2;0;0;0;0;4
658;V. Crespo;Camargo;a500;0;1;1;0;0;1;0;4
625;V. Crespo;Acoyte;a1400;0;1;1;0;0;0;0;4
630;V. Crespo;Leopoldo Marechal;a1300;0;0;2;0;0;0;0;4
715;V. Crespo;Warnes;a100;0;0;2;0;0;0;0;4
506;V. Crespo;Malabia;a0-100;0;1;1;0;0;0;0;4
647;V. Crespo;Padilla;a500;0;1;1;0;0;0;0;4
521;V. Crespo;Araoz;a200;0;0;3;0;0;0;0;4
716;V. Crespo;Warnes;a200;0;0;2;0;1;0;0;4
570;V. Crespo;Apolinario Figuer;a300;0;0;3;0;0;0;0;4
674;V. Crespo;Corrientes;a5700;0;0;3;0;0;0;0;4
671;V. Crespo;Corrientes;a5400;0;0;2;0;0;1;0;4
672;V. Crespo;Corrientes;a5500;0;0;2;0;0;1;0;4
673;V. Crespo;Corrientes;a5600;0;0;2;1;0;0;0;4
713;V. Crespo;Luis Maria Drago;a400;0;0;3;0;0;0;0;4
668;V. Crespo;Corrientes;a5100;0;0;3;0;0;1;0;4
670;V. Crespo;Corrientes;a5300;0;0;2;1;0;1;0;4
669;V. Crespo;Corrientes;a5200;0;0;2;0;0;1;0;4
712;V. Crespo;Luis Maria Drago;a300;0;0;2;0;0;0;0;4
711;V. Crespo;Luis Maria Drago;a200;0;1;1;0;0;0;0;4
225;Belgrano;Cramer;a700;0;0;9;0;0;0;0;4
157;Belgrano;Virrey Olaguer y;a2600;0;0;8;0;0;0;0;4
231;Belgrano;Cramer;a1400;0;0;7;0;0;0;0;4
227;Belgrano;Cramer;a900;0;0;11;0;0;0;0;4
267;Belgrano;Moldes;a1200;0;0;9;0;0;0;0;4
174;Belgrano;Virrey Loreto;a2600;0;0;9;0;0;0;0;4
268;Belgrano;Moldes;a1300;0;0;8;0;0;0;0;4
158;Belgrano;Virrey Olaguer y;a2700;0;0;7;0;0;0;0;4
230;Belgrano;Cramer;a1300;0;0;8;0;0;0;0;4
312;Belgrano;Ciudad de la Paz;a1300;0;0;7;0;0;0;0;4
311;Belgrano;Ciudad de la Paz;a1200;0;0;8;0;0;0;0;4
228;Belgrano;Cramer;a1000;0;0;11;0;0;0;0;4
289;Belgrano;Amenabar;a1200;0;0;9;0;0;0;0;4
233;Belgrano;Cramer;a1600-1650;0;0;5;0;1;0;0;4
173;Belgrano;Virrey Loreto;a2500;0;0;8;0;0;0;0;4
172;Belgrano;Virrey Loreto;a2400;0;0;7;0;0;0;0;4
288;Belgrano;Amenabar;a1100;0;0;9;0;0;0;0;4
161;Belgrano;Virrey Arredondo;a2400;0;0;7;0;0;0;0;4
290;Belgrano;Amenabar;a1300;0;0;9;0;0;0;0;4
163;Belgrano;Virrey Arredondo;a2600;0;0;9;0;0;0;0;4
156;Belgrano;Virrey Olaguer y;a2500;0;0;8;0;0;0;0;4
229;Belgrano;Cramer;a1200;0;0;9;0;0;0;0;4
162;Belgrano;Virrey Arredondo;a2500;0;0;8;0;0;0;0;4
153;Belgrano;Virrey Aviles;a2700;0;0;6;0;0;0;0;4
232;Belgrano;Cramer;a1500;0;0;6;0;0;0;0;4
155;Belgrano;Virrey Olaguer y;a2400;0;0;7;0;0;0;0;4
247;Belgrano;Vidal;a1500;0;0;5;0;0;0;0;4
266;Belgrano;Moldes;a1100;0;0;10;0;0;0;0;4
314;Belgrano;Ciudad de la Paz;a1500;0;0;7;0;0;0;0;4
246;Belgrano;Vidal;a1400;0;0;6;0;0;0;0;4
269;Belgrano;Moldes;a1400;0;0;7;0;0;0;1;4
270;Belgrano;Moldes;a1500;0;0;6;0;0;1;0;4
292;Belgrano;Amenabar;a1500;0;0;7;0;0;0;0;4
226;Belgrano;Cramer;a800;0;0;10;0;0;0;0;4
